#RunNo.	P(bars)	T_m	T_c	Ra(Tm)	DT
141021	8.085	21.519	21.447	7841000000000	12.03
141022	8.086	21.538	21.476	6566000000000	10.076
141023	8.089	21.538	21.471	6569000000000	10.072
141024	8.089	21.512	21.435	9151000000000	14.021
141029	6.047	21.511	21.478	3750000000000	12.019
141030	6.047	21.515	21.481	4375000000000	14.024
141031	6.048	21.515	21.48	4376000000000	14.024
141101	6.043	21.499	21.434	3116000000000	10
141109	17.839	21.466	21.167	135000000000000	15.892
141111	17.845	21.458	21.166	135300000000000	15.899
141113	17.847	21.463	21.18	135500000000000	15.909
141115	17.852	21.465	21.185	135600000000000	15.911
141124	17.854	21.493	21.379	93480000000000	10.978
141126	17.857	21.49	21.338	102000000000000	11.968
141127	17.862	21.454	21.265	110200000000000	12.896
141128	17.864	21.482	21.26	119200000000000	13.955
141129	17.854	21.473	21.227	127300000000000	14.931
141204	15.281	21.49	21.325	77630000000000	16.967
141205	15.285	21.479	21.304	73060000000000	15.945
141205	15.276	21.49	21.352	63850000000000	13.97
141206	15.272	21.499	21.386	54720000000000	11.989
141207	15.259	21.512	21.408	50100000000000	11.017
141208	15.252	21.495	21.399	45350000000000	9.985
141208	15.246	21.501	21.429	36270000000000	7.998
141209	15.268	21.501	21.388	54690000000000	11.993
141211	15.272	21.499	21.374	59290000000000	12.989
141212	15.278	21.489	21.351	63860000000000	13.968
141213	15.271	21.501	21.391	54720000000000	11.994
141213	15.28	21.499	21.343	68530000000000	14.987
141214	15.285	21.477	21.297	75320000000000	16.44
141214	15.285	21.476	21.293	75320000000000	16.438
141216	13.146	21.54	21.418	46110000000000	17.069
141218	13.149	21.557	21.45	40800000000000	15.103
141219	13.131	21.516	21.417	35080000000000	13.024
141219	13.129	21.522	21.427	32390000000000	12.038
141220	13.126	21.524	21.44	29690000000000	11.043
141222	10.063	21.534	21.476	13160000000000	11.066
141223	10.064	21.569	21.509	14300000000000	12.03
141224	10.072	21.973	21.898	14990000000000	12.713
141226	10.066	21.531	21.47	14360000000000	12.064
141226	10.063	21.542	21.476	15560000000000	13.081
141227	10.056	21.537	21.474	16700000000000	14.069
141228	10.06	21.508	21.438	17850000000000	15.011
141229	10.061	21.504	21.428	19040000000000	16
141230	10.063	21.494	21.413	20700000000000	17.381
150103	5.05	21.51	21.532	3446000000000	17.014
150104	5.052	21.534	21.555	3254000000000	16.063
150105	5.05	21.524	21.557	3046000000000	15.043
150106	5.051	21.507	21.54	2839000000000	14.01
150107	5.062	21.504	21.489	2853000000000	14.005
150109	5.061	21.526	21.508	3059000000000	15.029
150110	5.061	21.485	21.473	2642000000000	12.968
150111	5.062	21.509	21.496	2243000000000	11.013
150112	5.061	21.517	21.508	1838000000000	9.032
150113	5.06	21.509	21.508	1428000000000	7.017
150114	5.06	21.497	21.503	1220000000000	5.996
150119	11.063	21.512	21.454	18890000000000	12.019
150120	11.061	21.431	21.383	15520000000000	9.857
150121	11.06	21.437	21.407	12380000000000	7.87
150122	11.062	21.414	21.337	24140000000000	15.322
150124	11.061	21.414	21.336	24130000000000	15.322
150126	11.062	21.415	21.335	24140000000000	15.323
150128	8.032	21.514	21.389	10260000000000	16.023
150201	8.032	21.431	21.325	8894000000000	13.854
150202	8.032	21.431	21.336	7612000000000	11.858
