Run No.	HPCF No.	P (bars)	T_m	T_U	DT	Ra(Tm)	Pr(Tm)	Nu(Tm)	Nu(Tm)/Ra(Tm)^0.312	Nu(Tm)/Ra(Tm)^0.321	nu(Tm)	kappa(Tm)	alpha(Tm)	T_c	Ra(T_C)	Pr(T_C)	Nu(T_C)	Nu(T_C)/Ra(T_C)^0.312	Nu(T_C)/Ra(T_C)^0.321	nu(T_C)	kappa(T_C)	alpha(T_C)	T_c - T_m (K)	(T_c - T_m)/(T_m+273.15)	alpha*DT	Nu(Tm)/Nu(Tc)	T_m - T_U (K)
141021	4	8.085	21.519	24.352	12.03	7841000000000	0.8	1054.02	0.1	7.65e-2	2.8592e-3	3.5754e-3	4.8442e-3	21.447	7855000000000	0.8	1054.41	9.9938e-2	7.65024e-2	2.85761e-3	3.5734e-3	4.847e-3	-7.2e-2	-2.44342e-4	5.827573e-2	0.9996301	-2.833
141022	4	8.086	21.538	24.317	10.076	6566000000000	0.8	993.63	9.96e-2	7.64e-2	2.8595e-3	3.5757e-3	4.8436e-3	21.476	6576000000000	0.8	993.95	9.9578e-2	7.63487e-2	2.85807e-3	3.574e-3	4.846e-3	-6.2e-2	-2.10392e-4	4.880411e-2	0.9996781	-2.779
141023	4	8.089	21.538	24.417	10.072	6569000000000	0.8	994.8	9.97e-2	7.64e-2	2.8584e-3	3.5743e-3	4.8442e-3	21.471	6579000000000	0.8	995.14	9.9681e-2	7.64275e-2	2.85693e-3	3.5725e-3	4.8468e-3	-6.7e-2	-2.273591e-4	4.879078e-2	0.9996583	-2.879
141024	4	8.089	21.512	24.461	14.021	9151000000000	0.8	1108.58	0.1002	7.66e-2	2.8577e-3	3.5735e-3	4.8453e-3	21.435	9168000000000	0.8	1109.02	0.10016	7.65681e-2	2.85601e-3	3.5713e-3	4.8484e-3	-7.7e-2	-2.613164e-4	6.793595e-2	0.9996033	-2.949
141029	4	6.047	21.511	24.541	12.019	3750000000000	0.792	830.28	9.91e-2	7.64e-2	3.9124e-3	4.9417e-3	4.3855e-3	21.478	3753000000000	0.792	830.43	9.9107e-2	7.63723e-2	3.91142e-3	4.9404e-3	4.3865e-3	-3.3e-2	-1.119931e-4	5.270932e-2	0.9998194	-3.03
141030	4	6.047	21.515	24.541	14.024	4375000000000	0.792	873.53	9.94e-2	7.65e-2	3.9126e-3	4.9419e-3	4.3854e-3	21.481	4378000000000	0.792	873.69	9.9373e-2	7.64707e-2	3.91158e-3	4.9406e-3	4.3864e-3	-3.4e-2	-1.153853e-4	6.150085e-2	0.9998169	-3.026
141031	4	6.048	21.515	24.585	14.024	4376000000000	0.792	873.72	9.94e-2	7.65e-2	3.9122e-3	4.9414e-3	4.3855e-3	21.48	4379000000000	0.792	873.88	9.9387e-2	7.64818e-2	3.9112e-3	4.9402e-3	4.3865e-3	-3.5e-2	-1.18779e-4	6.150225e-2	0.9998169	-3.07
141101	4	6.043	21.499	24.379	10	3116000000000	0.792	775.54	9.81e-2	7.57e-2	3.915e-3	4.945e-3	4.385e-3	21.434	3120000000000	0.792	775.81	9.8079e-2	7.57054e-2	3.91311e-3	4.9427e-3	4.3869e-3	-6.5e-2	-2.206015e-4	4.385e-2	0.999652	-2.88
141109	4	17.839	21.466	23.871	15.892	135000000000000	0.859	2700.84	0.1054	7.86e-2	1.1395e-3	1.3263e-3	9.3348e-3	21.167	136900000000000	0.859	2702.75	0.10502	7.83473e-2	1.13575e-3	1.322e-3	9.4031e-3	-0.299	-1.01488e-3	0.1483486	0.9992933	-2.405
141111	4	17.845	21.458	23.913	15.899	135300000000000	0.859	2699.98	0.1053	7.86e-2	1.1389e-3	1.3256e-3	9.3419e-3	21.166	137200000000000	0.859	2701.84	0.10491	7.82707e-2	1.13523e-3	1.3214e-3	9.4087e-3	-0.292	-9.911476e-4	0.1485269	0.9993116	-2.455
