#z [m]	|p [pa]
0.000000	|802906.473704
0.000112	|802906.533280
0.000224	|802906.592856
0.000336	|802906.652431
0.000448	|802906.712007
0.000560	|802906.771582
0.000672	|802906.831156
0.000784	|802906.890730
0.000896	|802906.950304
0.001008	|802907.009878
0.001120	|802907.069451
0.001232	|802907.129023
0.001344	|802907.188596
0.001456	|802907.248168
0.001568	|802907.307739
0.001680	|802907.367311
0.001792	|802907.426881
0.001904	|802907.486452
0.002016	|802907.546022
0.002128	|802907.605592
0.002240	|802907.665161
0.002352	|802907.724731
0.002464	|802907.784299
0.002576	|802907.843868
0.002688	|802907.903436
0.002800	|802907.963003
0.002912	|802908.022571
0.003024	|802908.082137
0.003136	|802908.141704
0.003248	|802908.201270
0.003360	|802908.260836
0.003472	|802908.320402
0.003584	|802908.379967
0.003696	|802908.439531
0.003808	|802908.499096
0.003920	|802908.558660
0.004032	|802908.618224
0.004144	|802908.677787
0.004256	|802908.737350
0.004368	|802908.796912
0.004480	|802908.856475
0.004592	|802908.916036
0.004704	|802908.975598
0.004816	|802909.035159
0.004928	|802909.094720
0.005041	|802909.154280
0.005153	|802909.213840
0.005265	|802909.273400
0.005377	|802909.332959
0.005489	|802909.392518
0.005601	|802909.452077
0.005713	|802909.511635
0.005825	|802909.571193
0.005937	|802909.630751
0.006049	|802909.690308
0.006161	|802909.749865
0.006273	|802909.809421
0.006385	|802909.868977
0.006497	|802909.928533
0.006609	|802909.988088
0.006721	|802910.047643
0.006833	|802910.107198
0.006945	|802910.166752
0.007057	|802910.226306
0.007169	|802910.285860
0.007281	|802910.345413
0.007393	|802910.404966
0.007505	|802910.464518
0.007617	|802910.524070
0.007729	|802910.583622
0.007841	|802910.643173
0.007953	|802910.702724
0.008065	|802910.762275
0.008177	|802910.821825
0.008289	|802910.881375
0.008401	|802910.940925
0.008513	|802911.000474
0.008625	|802911.060023
0.008737	|802911.119572
0.008849	|802911.179120
0.008961	|802911.238667
0.009073	|802911.298215
0.009185	|802911.357762
0.009297	|802911.417309
0.009409	|802911.476855
0.009521	|802911.536401
0.009633	|802911.595947
0.009745	|802911.655492
0.009857	|802911.715037
0.009969	|802911.774581
0.010081	|802911.834125
0.010193	|802911.893669
0.010305	|802911.953213
0.010417	|802912.012756
0.010529	|802912.072298
0.010641	|802912.131841
0.010753	|802912.191383
0.010865	|802912.250924
0.010977	|802912.310466
0.011089	|802912.370007
0.011201	|802912.429547
0.011313	|802912.489087
0.011425	|802912.548627
0.011537	|802912.608167
0.011649	|802912.667706
0.011761	|802912.727245
0.011873	|802912.786783
0.011985	|802912.846321
0.012097	|802912.905859
0.012209	|802912.965396
0.012321	|802913.024933
0.012433	|802913.084470
0.012545	|802913.144006
0.012657	|802913.203542
0.012769	|802913.263077
0.012881	|802913.322612
0.012993	|802913.382147
0.013105	|802913.441681
0.013217	|802913.501216
0.013329	|802913.560749
0.013441	|802913.620283
0.013553	|802913.679816
0.013665	|802913.739348
0.013777	|802913.798880
0.013889	|802913.858412
0.014001	|802913.917944
0.014113	|802913.977475
0.014225	|802914.037006
0.014337	|802914.096536
0.014449	|802914.156066
0.014561	|802914.215596
0.014673	|802914.275126
0.014785	|802914.334655
0.014897	|802914.394183
0.015010	|802914.453712
0.015122	|802914.513239
0.015234	|802914.572767
0.015346	|802914.632294
0.015458	|802914.691821
0.015570	|802914.751348
0.015682	|802914.810874
0.015794	|802914.870399
0.015906	|802914.929925
0.016018	|802914.989450
0.016130	|802915.048975
0.016242	|802915.108499
0.016354	|802915.168023
0.016466	|802915.227547
0.016578	|802915.287070
0.016690	|802915.346593
0.016802	|802915.406115
0.016914	|802915.465637
0.017026	|802915.525159
0.017138	|802915.584681
0.017250	|802915.644202
0.017362	|802915.703722
0.017474	|802915.763243
0.017586	|802915.822763
0.017698	|802915.882282
0.017810	|802915.941802
0.017922	|802916.001321
0.018034	|802916.060839
0.018146	|802916.120357
0.018258	|802916.179875
0.018370	|802916.239393
0.018482	|802916.298910
0.018594	|802916.358427
0.018706	|802916.417943
0.018818	|802916.477459
0.018930	|802916.536975
0.019042	|802916.596490
0.019154	|802916.656005
0.019266	|802916.715520
0.019378	|802916.775034
0.019490	|802916.834548
0.019602	|802916.894061
0.019714	|802916.953574
0.019826	|802917.013087
0.019938	|802917.072600
0.020050	|802917.132112
0.020162	|802917.191623
0.020274	|802917.251135
0.020386	|802917.310646
0.020498	|802917.370156
0.020610	|802917.429667
0.020722	|802917.489176
0.020834	|802917.548686
0.020946	|802917.608195
0.021058	|802917.667704
0.021170	|802917.727213
0.021282	|802917.786721
0.021394	|802917.846228
0.021506	|802917.905736
0.021618	|802917.965243
0.021730	|802918.024750
0.021842	|802918.084256
0.021954	|802918.143762
0.022066	|802918.203267
0.022178	|802918.262773
0.022290	|802918.322277
0.022402	|802918.381782
0.022514	|802918.441286
0.022626	|802918.500790
0.022738	|802918.560293
0.022850	|802918.619796
0.022962	|802918.679299
0.023074	|802918.738801
0.023186	|802918.798303
0.023298	|802918.857805
0.023410	|802918.917306
0.023522	|802918.976807
0.023634	|802919.036308
0.023746	|802919.095808
0.023858	|802919.155308
0.023970	|802919.214807
0.024082	|802919.274306
0.024194	|802919.333805
0.024306	|802919.393304
0.024418	|802919.452802
0.024530	|802919.512299
0.024642	|802919.571797
0.024754	|802919.631294
0.024866	|802919.690790
0.024978	|802919.750286
0.025091	|802919.809782
0.025203	|802919.869278
0.025315	|802919.928773
0.025427	|802919.988268
0.025539	|802920.047762
0.025651	|802920.107256
0.025763	|802920.166750
0.025875	|802920.226243
0.025987	|802920.285736
0.026099	|802920.345229
0.026211	|802920.404721
0.026323	|802920.464213
0.026435	|802920.523705
0.026547	|802920.583196
0.026659	|802920.642687
0.026771	|802920.702177
0.026883	|802920.761667
0.026995	|802920.821157
0.027107	|802920.880646
0.027219	|802920.940135
0.027331	|802920.999624
0.027443	|802921.059112
0.027555	|802921.118600
0.027667	|802921.178088
0.027779	|802921.237575
0.027891	|802921.297062
0.028003	|802921.356549
0.028115	|802921.416035
0.028227	|802921.475521
0.028339	|802921.535006
0.028451	|802921.594491
0.028563	|802921.653976
0.028675	|802921.713460
0.028787	|802921.772944
0.028899	|802921.832428
0.029011	|802921.891911
0.029123	|802921.951394
0.029235	|802922.010877
0.029347	|802922.070359
0.029459	|802922.129841
0.029571	|802922.189322
0.029683	|802922.248803
0.029795	|802922.308284
0.029907	|802922.367764
0.030019	|802922.427245
0.030131	|802922.486724
0.030243	|802922.546204
0.030355	|802922.605683
0.030467	|802922.665161
0.030579	|802922.724639
0.030691	|802922.784117
0.030803	|802922.843595
0.030915	|802922.903072
0.031027	|802922.962549
0.031139	|802923.022025
0.031251	|802923.081501
0.031363	|802923.140977
0.031475	|802923.200452
0.031587	|802923.259927
0.031699	|802923.319402
0.031811	|802923.378876
0.031923	|802923.438350
0.032035	|802923.497824
0.032147	|802923.557297
0.032259	|802923.616770
0.032371	|802923.676242
0.032483	|802923.735715
0.032595	|802923.795186
0.032707	|802923.854658
0.032819	|802923.914129
0.032931	|802923.973600
0.033043	|802924.033070
0.033155	|802924.092540
0.033267	|802924.152010
0.033379	|802924.211479
0.033491	|802924.270948
0.033603	|802924.330416
0.033715	|802924.389884
0.033827	|802924.449352
0.033939	|802924.508820
0.034051	|802924.568287
0.034163	|802924.627754
0.034275	|802924.687220
0.034387	|802924.746686
0.034499	|802924.806152
0.034611	|802924.865617
0.034723	|802924.925082
0.034835	|802924.984547
0.034947	|802925.044011
0.035060	|802925.103475
0.035172	|802925.162938
0.035284	|802925.222401
0.035396	|802925.281864
0.035508	|802925.341327
0.035620	|802925.400789
0.035732	|802925.460250
0.035844	|802925.519712
0.035956	|802925.579173
0.036068	|802925.638633
0.036180	|802925.698094
0.036292	|802925.757554
0.036404	|802925.817013
0.036516	|802925.876472
0.036628	|802925.935931
0.036740	|802925.995390
0.036852	|802926.054848
0.036964	|802926.114306
0.037076	|802926.173763
0.037188	|802926.233220
0.037300	|802926.292677
0.037412	|802926.352133
0.037524	|802926.411589
0.037636	|802926.471045
0.037748	|802926.530500
0.037860	|802926.589955
0.037972	|802926.649409
0.038084	|802926.708864
0.038196	|802926.768317
0.038308	|802926.827771
0.038420	|802926.887224
0.038532	|802926.946677
0.038644	|802927.006129
0.038756	|802927.065581
0.038868	|802927.125033
0.038980	|802927.184484
0.039092	|802927.243935
0.039204	|802927.303386
0.039316	|802927.362836
0.039428	|802927.422286
0.039540	|802927.481735
0.039652	|802927.541185
0.039764	|802927.600633
0.039876	|802927.660082
0.039988	|802927.719530
0.040100	|802927.778978
0.040212	|802927.838425
0.040324	|802927.897872
0.040436	|802927.957319
0.040548	|802928.016765
0.040660	|802928.076211
0.040772	|802928.135656
0.040884	|802928.195102
0.040996	|802928.254547
0.041108	|802928.313991
0.041220	|802928.373435
0.041332	|802928.432879
0.041444	|802928.492322
0.041556	|802928.551765
0.041668	|802928.611208
0.041780	|802928.670650
0.041892	|802928.730092
0.042004	|802928.789534
0.042116	|802928.848975
0.042228	|802928.908416
0.042340	|802928.967857
0.042452	|802929.027297
0.042564	|802929.086737
0.042676	|802929.146176
0.042788	|802929.205615
0.042900	|802929.265054
0.043012	|802929.324493
0.043124	|802929.383931
0.043236	|802929.443368
0.043348	|802929.502806
0.043460	|802929.562243
0.043572	|802929.621679
0.043684	|802929.681115
0.043796	|802929.740551
0.043908	|802929.799987
0.044020	|802929.859422
0.044132	|802929.918857
0.044244	|802929.978291
0.044356	|802930.037725
0.044468	|802930.097159
0.044580	|802930.156593
0.044692	|802930.216026
0.044804	|802930.275458
0.044916	|802930.334891
0.045029	|802930.394323
0.045141	|802930.453754
0.045253	|802930.513185
0.045365	|802930.572616
0.045477	|802930.632047
0.045589	|802930.691477
0.045701	|802930.750907
0.045813	|802930.810336
0.045925	|802930.869765
0.046037	|802930.929194
0.046149	|802930.988622
0.046261	|802931.048050
0.046373	|802931.107478
0.046485	|802931.166905
0.046597	|802931.226332
0.046709	|802931.285759
0.046821	|802931.345185
0.046933	|802931.404611
0.047045	|802931.464036
0.047157	|802931.523461
0.047269	|802931.582886
0.047381	|802931.642311
0.047493	|802931.701735
0.047605	|802931.761158
0.047717	|802931.820582
0.047829	|802931.880005
0.047941	|802931.939427
0.048053	|802931.998850
0.048165	|802932.058272
0.048277	|802932.117693
0.048389	|802932.177114
0.048501	|802932.236535
0.048613	|802932.295956
0.048725	|802932.355376
0.048837	|802932.414796
0.048949	|802932.474215
0.049061	|802932.533634
