#z [m]	|lamba [J/s m K]	|rho [kg/m^3]	|alpha [1/K]
0.000000 	| 0.012970 	|54.217971 	|0.004972 
0.000112 	| 0.012971 	|54.217642 	|0.004972 
0.000224 	| 0.012971 	|54.217313 	|0.004972 
0.000336 	| 0.012971 	|54.216984 	|0.004971 
0.000448 	| 0.012971 	|54.216654 	|0.004971 
0.000560 	| 0.012971 	|54.216325 	|0.004971 
0.000672 	| 0.012971 	|54.215996 	|0.004971 
0.000784 	| 0.012971 	|54.215667 	|0.004971 
0.000896 	| 0.012971 	|54.215338 	|0.004971 
0.001008 	| 0.012971 	|54.215009 	|0.004971 
0.001120 	| 0.012971 	|54.214680 	|0.004971 
0.001232 	| 0.012971 	|54.214351 	|0.004971 
0.001344 	| 0.012971 	|54.214022 	|0.004971 
0.001456 	| 0.012972 	|54.213692 	|0.004971 
0.001568 	| 0.012972 	|54.213363 	|0.004971 
0.001680 	| 0.012972 	|54.213034 	|0.004971 
0.001792 	| 0.012972 	|54.212705 	|0.004971 
0.001904 	| 0.012972 	|54.212376 	|0.004971 
0.002016 	| 0.012972 	|54.212047 	|0.004971 
0.002128 	| 0.012972 	|54.211718 	|0.004971 
0.002240 	| 0.012972 	|54.211389 	|0.004971 
0.002352 	| 0.012972 	|54.211060 	|0.004971 
0.002464 	| 0.012972 	|54.210731 	|0.004970 
0.002576 	| 0.012972 	|54.210402 	|0.004970 
0.002688 	| 0.012972 	|54.210073 	|0.004970 
0.002800 	| 0.012973 	|54.209744 	|0.004970 
0.002912 	| 0.012973 	|54.209415 	|0.004970 
0.003024 	| 0.012973 	|54.209086 	|0.004970 
0.003136 	| 0.012973 	|54.208757 	|0.004970 
0.003248 	| 0.012973 	|54.208428 	|0.004970 
0.003360 	| 0.012973 	|54.208099 	|0.004970 
0.003472 	| 0.012973 	|54.207770 	|0.004970 
0.003584 	| 0.012973 	|54.207441 	|0.004970 
0.003696 	| 0.012973 	|54.207112 	|0.004970 
0.003808 	| 0.012973 	|54.206784 	|0.004970 
0.003920 	| 0.012973 	|54.206455 	|0.004970 
0.004032 	| 0.012973 	|54.206126 	|0.004970 
0.004144 	| 0.012974 	|54.205797 	|0.004970 
0.004256 	| 0.012974 	|54.205468 	|0.004970 
0.004368 	| 0.012974 	|54.205139 	|0.004970 
0.004480 	| 0.012974 	|54.204810 	|0.004970 
0.004592 	| 0.012974 	|54.204481 	|0.004970 
0.004704 	| 0.012974 	|54.204152 	|0.004969 
0.004816 	| 0.012974 	|54.203824 	|0.004969 
0.004928 	| 0.012974 	|54.203495 	|0.004969 
0.005041 	| 0.012974 	|54.203166 	|0.004969 
0.005153 	| 0.012974 	|54.202837 	|0.004969 
0.005265 	| 0.012974 	|54.202508 	|0.004969 
0.005377 	| 0.012974 	|54.202179 	|0.004969 
0.005489 	| 0.012975 	|54.201851 	|0.004969 
0.005601 	| 0.012975 	|54.201522 	|0.004969 
0.005713 	| 0.012975 	|54.201193 	|0.004969 
0.005825 	| 0.012975 	|54.200864 	|0.004969 
0.005937 	| 0.012975 	|54.200535 	|0.004969 
0.006049 	| 0.012975 	|54.200207 	|0.004969 
0.006161 	| 0.012975 	|54.199878 	|0.004969 
0.006273 	| 0.012975 	|54.199549 	|0.004969 
0.006385 	| 0.012975 	|54.199220 	|0.004969 
0.006497 	| 0.012975 	|54.198892 	|0.004969 
0.006609 	| 0.012975 	|54.198563 	|0.004969 
0.006721 	| 0.012976 	|54.198234 	|0.004969 
0.006833 	| 0.012976 	|54.197905 	|0.004968 
0.006945 	| 0.012976 	|54.197577 	|0.004968 
