#DataSet: 	|Ra_m:	|Ra_c	|Nu_m:	|Nu_c:	| q_av_m:	|q_real:	|q_av_c: 
141021	|7841000000000.000000	|7855000000000.000000	|1054.020000	|1054.410000	|0.141951	|0.141969	|0.141898
141022	|6566000000000.000000	|6576000000000.000000	|993.630000	|993.950000	|0.118907	|0.118921	|0.118869
141023	|6569000000000.000000	|6579000000000.000000	|994.800000	|995.140000	|0.118862	|0.118876	|0.118821
141024	|9151000000000.000000	|9168000000000.000000	|1108.580000	|1109.020000	|0.165443	|0.165465	|0.165377
141029	|3750000000000.000000	|3753000000000.000000	|830.280000	|830.430000	|0.139891	|0.139907	|0.139866
141030	|4375000000000.000000	|4378000000000.000000	|873.530000	|873.690000	|0.163231	|0.163250	|0.163201
141031	|4376000000000.000000	|4379000000000.000000	|873.720000	|873.880000	|0.163232	|0.163251	|0.163201
141101	|3116000000000.000000	|3120000000000.000000	|775.540000	|775.810000	|0.116381	|0.116394	|0.116341
141109	|135000000000000.000000	|136900000000000.000000	|2700.840000	|2702.750000	|0.211269	|0.211538	|0.211119
141111	|135300000000000.000000	|137200000000000.000000	|2699.980000	|2701.840000	|0.211385	|0.211655	|0.211239
141113	|135500000000000.000000	|137300000000000.000000	|2696.280000	|2698.080000	|0.211530	|0.211801	|0.211388
141115	|135600000000000.000000	|137400000000000.000000	|2695.210000	|2696.980000	|0.211580	|0.211852	|0.211440
141124	|93480000000000.000000	|93980000000000.000000	|2341.630000	|2342.260000	|0.145998	|0.146094	|0.145959
141126	|102000000000000.000000	|102700000000000.000000	|2424.910000	|2425.780000	|0.159174	|0.159295	|0.159117
141127	|110200000000000.000000	|111200000000000.000000	|2500.700000	|2501.820000	|0.171520	|0.171670	|0.171444
141128	|119200000000000.000000	|120400000000000.000000	|2573.180000	|2574.520000	|0.185625	|0.185812	|0.185528
141129	|127300000000000.000000	|128700000000000.000000	|2630.300000	|2631.830000	|0.198561	|0.198787	|0.198445
141204	|77630000000000.000000	|78100000000000.000000	|2207.370000	|2208.730000	|0.215459	|0.215589	|0.215325
