# z[m]	| T [degC]
0.000000	|18.000000
0.000112	|18.001238
0.000224	|18.002476
0.000336	|18.003714
0.000448	|18.004952
0.000560	|18.006190
0.000672	|18.007428
0.000784	|18.008666
0.000896	|18.009904
0.001008	|18.011142
0.001120	|18.012380
0.001232	|18.013618
0.001344	|18.014856
0.001456	|18.016094
0.001568	|18.017332
0.001680	|18.018570
0.001792	|18.019808
0.001904	|18.021046
0.002016	|18.022284
0.002128	|18.023522
0.002240	|18.024760
0.002352	|18.025998
0.002464	|18.027236
0.002576	|18.028473
0.002688	|18.029711
0.002800	|18.030949
0.002912	|18.032187
0.003024	|18.033425
0.003136	|18.034663
0.003248	|18.035901
0.003360	|18.037138
0.003472	|18.038376
0.003584	|18.039614
0.003696	|18.040852
0.003808	|18.042090
0.003920	|18.043328
0.004032	|18.044565
0.004144	|18.045803
0.004256	|18.047041
0.004368	|18.048279
0.004480	|18.049516
0.004592	|18.050754
0.004704	|18.051992
0.004816	|18.053230
0.004928	|18.054467
0.005041	|18.055705
0.005153	|18.056943
0.005265	|18.058180
0.005377	|18.059418
0.005489	|18.060656
0.005601	|18.061893
0.005713	|18.063131
0.005825	|18.064369
0.005937	|18.065606
0.006049	|18.066844
0.006161	|18.068082
0.006273	|18.069319
0.006385	|18.070557
0.006497	|18.071795
0.006609	|18.073032
0.006721	|18.074270
0.006833	|18.075507
0.006945	|18.076745
0.007057	|18.077982
0.007169	|18.079220
0.007281	|18.080458
0.007393	|18.081695
0.007505	|18.082933
0.007617	|18.084170
0.007729	|18.085408
0.007841	|18.086645
0.007953	|18.087883
0.008065	|18.089120
0.008177	|18.090358
0.008289	|18.091595
0.008401	|18.092833
0.008513	|18.094070
0.008625	|18.095308
0.008737	|18.096545
0.008849	|18.097782
0.008961	|18.099020
0.009073	|18.100257
0.009185	|18.101495
0.009297	|18.102732
0.009409	|18.103969
0.009521	|18.105207
0.009633	|18.106444
0.009745	|18.107682
0.009857	|18.108919
0.009969	|18.110156
0.010081	|18.111394
0.010193	|18.112631
0.010305	|18.113868
0.010417	|18.115106
0.010529	|18.116343
0.010641	|18.117580
0.010753	|18.118818
0.010865	|18.120055
0.010977	|18.121292
0.011089	|18.122529
0.011201	|18.123767
0.011313	|18.125004
0.011425	|18.126241
0.011537	|18.127479
0.011649	|18.128716
0.011761	|18.129953
0.011873	|18.131190
0.011985	|18.132427
0.012097	|18.133665
0.012209	|18.134902
0.012321	|18.136139
0.012433	|18.137376
0.012545	|18.138613
0.012657	|18.139851
0.012769	|18.141088
0.012881	|18.142325
0.012993	|18.143562
0.013105	|18.144799
0.013217	|18.146036
